Feature Name,Alpha = 75.000000,Alpha = 100.000000,Alpha = 200.000000,Alpha = 300.000000
ExterQual_Fa,-0.0,-0.0,-0.0,-0.0
ExterQual_Gd,0.0,0.0,0.0,0.0
ExterQual_TA,-5148.679948050548,-5621.723265053755,-7540.586962162352,-8829.261575059436
ExterCond_Ex,0.0,0.0,0.0,0.0
ExterCond_Fa,0.0,-0.0,-0.0,-0.0
ExterCond_Gd,-36.66802767611736,-0.0,-0.0,-0.0
ExterCond_Po,-0.0,-0.0,-0.0,-0.0
ExterCond_TA,1745.6146021233187,1404.189974480985,0.0,0.0
Foundation_BrkTil,-1825.91821126924,-1528.3130797514086,-0.0,-0.0
Foundation_CBlock,-0.0,-0.0,-0.0,-0.0
Foundation_PConc,4510.281148643918,4712.401334261745,5306.271491374571,5683.446337136865
Foundation_Slab,0.0,0.0,0.0,0.0
Foundation_Stone,0.0,0.0,0.0,0.0
Foundation_Wood,-0.0,-0.0,-0.0,-0.0
BsmtQual_Ex,14164.6283484906,14377.572582560479,15317.306675881899,17002.030596289216
BsmtQual_Fa,-0.0,-0.0,-0.0,-0.0
BsmtQual_Gd,-0.0,-0.0,0.0,0.0
BsmtQual_None,2231.0997879067804,44.647758099757276,0.0,0.0
BsmtQual_TA,-3534.1106690877004,-3970.218978297007,-4503.507214373171,-4783.916993861092
BsmtCond_Fa,-3304.637364967099,-3799.257636573845,-3185.233681657428,-1641.4989911184691
BsmtCond_Gd,-0.0,-0.0,-0.0,0.0
BsmtCond_None,11.805244746334077,1.6383381252937605,0.0,0.0
BsmtCond_Po,-0.0,-0.0,-0.0,-0.0
BsmtCond_TA,571.4339936073567,67.28357273385247,0.0,0.0
BsmtExposure_Av,0.0,-0.0,-0.0,-0.0
BsmtExposure_Gd,14917.31822306657,14439.455704082082,13181.607566189783,11958.954705084758
BsmtExposure_Mn,-45.775478478586884,-0.0,-0.0,-0.0
BsmtExposure_No,-4489.790892654848,-4606.310176933057,-4544.160365192611,-4594.998597110222
BsmtExposure_None,0.0,0.0,0.0,0.0
BsmtFinType1_ALQ,0.0,0.0,0.0,0.0
BsmtFinType1_BLQ,-107.17801748053702,-0.0,-0.0,-0.0
BsmtFinType1_GLQ,4519.736009066316,4637.585154837338,5173.899611900098,5421.879134536324
BsmtFinType1_LwQ,-2944.442074502226,-2302.3048166274575,-309.65281880238615,-0.0
BsmtFinType1_None,0.0,0.0,0.0,0.0
BsmtFinType1_Rec,-2695.1548338541434,-2553.7779062406735,-1864.0559326164457,-1035.4815240119203
BsmtFinType1_Unf,0.0,0.0,0.0,0.0
BsmtFinType2_ALQ,629.7298198761652,0.0,0.0,0.0
BsmtFinType2_BLQ,-1843.3511200438536,-385.15147811266894,-0.0,-0.0
BsmtFinType2_GLQ,0.0,0.0,0.0,0.0
BsmtFinType2_LwQ,-1169.6760867099188,-0.0,-0.0,-0.0
BsmtFinType2_None,0.0,0.0,0.0,0.0
BsmtFinType2_Rec,-1252.6978777887382,-0.0,-0.0,-0.0
BsmtFinType2_Unf,0.0,0.0,-0.0,-0.0
Heating_GasA,0.0,0.0,0.0,0.0
Heating_GasW,-0.0,-0.0,-0.0,-0.0
Heating_Grav,-0.0,-0.0,-0.0,-0.0
Heating_Wall,0.0,0.0,0.0,0.0
HeatingQC_Ex,4033.558286901757,4337.26495929574,4609.787498499475,5021.446026456376
HeatingQC_Fa,-0.0,-0.0,-0.0,-0.0
HeatingQC_Gd,0.0,0.0,0.0,0.0
HeatingQC_Po,0.0,0.0,0.0,0.0
HeatingQC_TA,-297.72111075110774,-299.1004422549688,-645.1697165448102,-926.5822873184884
CentralAir_N,-2938.774325701111,-3157.6399705387803,-4591.41970749159,-4949.497531469429
CentralAir_Y,0.0,1.638622806069287e-12,0.0,0.0
Electrical_FuseA,0.0,-0.0,-0.0,-0.0
Electrical_FuseF,0.0,0.0,-0.0,-0.0
Electrical_FuseP,0.0,0.0,0.0,-0.0
Electrical_Mix,-0.0,-0.0,-0.0,-0.0
Electrical_SBrkr,-0.0,0.0,0.0,0.0
