Feature Name,Alpha = 200.000000,Alpha = 500.000000,Alpha = 800.000000,Alpha = 1200.000000
RoofMatl_ClyTile,-149368.82364930495,-0.0,-0.0,-0.0
RoofMatl_CompShg,0.0,0.0,0.0,0.0
RoofMatl_Membran,0.0,0.0,0.0,0.0
RoofMatl_Metal,0.0,0.0,0.0,0.0
RoofMatl_Roll,-0.0,-0.0,-0.0,-0.0
RoofMatl_Tar&Grv,-0.0,-0.0,-0.0,-0.0
RoofMatl_WdShake,0.0,-0.0,-0.0,-0.0
RoofMatl_WdShngl,23067.612326656104,0.0,0.0,0.0
Exterior1st_AsbShng,0.0,-0.0,-0.0,0.0
Exterior1st_AsphShn,-0.0,-0.0,-0.0,-0.0
Exterior1st_BrkComm,-0.0,-0.0,-0.0,-0.0
Exterior1st_BrkFace,11419.152144094553,2497.6793915003923,0.0,0.0
Exterior1st_CBlock,-0.0,0.0,0.0,0.0
Exterior1st_CemntBd,0.0,0.0,0.0,0.0
Exterior1st_HdBoard,-154.69132921673506,-0.0,-0.0,-0.0
Exterior1st_ImStucc,-0.0,-0.0,0.0,0.0
Exterior1st_MetalSd,0.0,0.0,0.0,0.0
Exterior1st_Plywood,-0.0,-0.0,-0.0,-0.0
Exterior1st_Stone,-0.0,-0.0,0.0,0.0
Exterior1st_Stucco,-0.0,-0.0,-0.0,-0.0
Exterior1st_VinylSd,0.0,0.0,0.0,0.0
Exterior1st_Wd Sdng,-0.0,-0.0,-0.0,-0.0
Exterior1st_WdShing,-0.0,-0.0,-0.0,-0.0
Exterior2nd_AsbShng,-0.0,0.0,0.0,0.0
Exterior2nd_AsphShn,0.0,-0.0,-0.0,-0.0
Exterior2nd_Brk Cmn,-0.0,-0.0,-0.0,-0.0
Exterior2nd_BrkFace,0.0,0.0,0.0,0.0
Exterior2nd_CBlock,-0.0,0.0,0.0,0.0
Exterior2nd_CmentBd,0.0,0.0,0.0,0.0
Exterior2nd_HdBoard,-0.0,-0.0,-0.0,-0.0
Exterior2nd_ImStucc,0.0,0.0,0.0,0.0
Exterior2nd_MetalSd,0.0,0.0,0.0,0.0
Exterior2nd_Other,-0.0,0.0,0.0,0.0
Exterior2nd_Plywood,-274.54868873442166,-0.0,-0.0,-0.0
Exterior2nd_Stone,-0.0,-0.0,0.0,0.0
Exterior2nd_Stucco,-0.0,-0.0,-0.0,-0.0
Exterior2nd_VinylSd,943.0829233756065,0.0,0.0,0.0
Exterior2nd_Wd Sdng,0.0,-0.0,-0.0,-0.0
Exterior2nd_Wd Shng,-0.0,-0.0,-0.0,-0.0
MasVnrType_BrkCmn,-0.0,-0.0,-0.0,-0.0
MasVnrType_BrkFace,-1394.707711535395,-1849.6625913757364,-708.7554880482616,-0.0
MasVnrType_None,2368.9814158325626,1057.7773640730777,0.0,0.0
MasVnrType_Stone,0.0,0.0,0.0,0.0
ExterQual_Ex,9469.054476271122,0.0,0.0,0.0
ExterQual_Fa,0.0,0.0,0.0,0.0
ExterQual_Gd,-0.0,-0.0,0.0,0.0
ExterQual_TA,-4037.096019133956,-5746.8494042144175,-5816.355321152822,-4952.361727686609
ExterCond_Ex,0.0,0.0,0.0,0.0
ExterCond_Fa,0.0,0.0,0.0,0.0
ExterCond_Gd,-0.0,-0.0,-0.0,-0.0
ExterCond_Po,0.0,0.0,0.0,0.0
ExterCond_TA,0.0,0.0,0.0,0.0
Foundation_BrkTil,-355.9334864955174,-0.0,-0.0,-0.0
Foundation_CBlock,0.0,-0.0,-0.0,-0.0
Foundation_PConc,1281.760796645236,797.0583789917256,269.93040991956957,0.0
Foundation_Slab,-0.0,-0.0,-0.0,-0.0
Foundation_Stone,0.0,0.0,0.0,0.0
Foundation_Wood,-0.0,-0.0,-0.0,-0.0
BsmtQual_Ex,24646.296311460497,26024.368763061204,24278.678263021844,22073.012691641885
BsmtQual_Fa,0.0,-0.0,-0.0,-0.0
BsmtQual_Gd,-0.0,-0.0,-0.0,-0.0
BsmtQual_TA,-0.0,-0.0,-0.0,-0.0
BsmtCond_Fa,-0.0,-0.0,-0.0,-0.0
BsmtCond_Gd,-0.0,-0.0,-0.0,0.0
BsmtCond_Po,0.0,0.0,0.0,0.0
BsmtCond_TA,1819.1605215863472,0.0,0.0,0.0
BsmtExposure_Av,0.0,0.0,0.0,0.0
BsmtExposure_Gd,15724.392232932489,11660.591852040134,6766.612208893911,1481.9754136158128
BsmtExposure_Mn,-0.0,0.0,0.0,-0.0
BsmtExposure_No,-5814.001949045257,-5557.048067481804,-5520.158107934809,-5589.969190994807
BsmtFinType1_ALQ,0.0,0.0,0.0,-0.0
BsmtFinType1_BLQ,316.19104896068706,0.0,0.0,0.0
BsmtFinType1_GLQ,3644.659042945182,3731.110847931719,3281.4816110283814,1430.729088683294
BsmtFinType1_LwQ,-0.0,-0.0,-0.0,-0.0
BsmtFinType1_Rec,-0.0,-0.0,-0.0,-0.0
BsmtFinType1_Unf,-2834.822552149812,-1957.4492814181353,-0.0,-0.0
BsmtFinType2_ALQ,0.0,0.0,0.0,0.0
BsmtFinType2_BLQ,-0.0,-0.0,-0.0,-0.0
BsmtFinType2_GLQ,0.0,0.0,0.0,0.0
BsmtFinType2_LwQ,-0.0,-0.0,-0.0,-0.0
BsmtFinType2_Rec,-0.0,-0.0,-0.0,-0.0
BsmtFinType2_Unf,0.0,0.0,0.0,0.0
Heating_Floor,0.0,0.0,0.0,0.0
Heating_GasA,0.0,-0.0,-0.0,0.0
Heating_GasW,0.0,0.0,-0.0,-0.0
Heating_Grav,0.0,0.0,0.0,0.0
Heating_OthW,-0.0,-0.0,-0.0,-0.0
Heating_Wall,0.0,0.0,0.0,0.0
HeatingQC_Ex,2911.8470463411113,2072.812542555146,1414.715542644544,776.4582792164417
HeatingQC_Fa,0.0,0.0,0.0,0.0
HeatingQC_Gd,-0.0,-0.0,-0.0,-0.0
HeatingQC_Po,-0.0,-0.0,-0.0,-0.0
HeatingQC_TA,-0.0,-0.0,-0.0,-0.0
CentralAir_N,0.0,0.0,-0.0,-0.0
CentralAir_Y,-0.0,-0.0,0.0,0.0
Electrical_FuseA,0.0,0.0,0.0,0.0
Electrical_FuseF,0.0,0.0,0.0,0.0
Electrical_FuseP,0.0,0.0,-0.0,-0.0
Electrical_Mix,-0.0,-0.0,-0.0,-0.0
Electrical_SBrkr,-0.0,-0.0,-0.0,-0.0
KitchenQual_Ex,25859.65066805209,24836.512410368905,21343.421212607904,17034.960561783624
KitchenQual_Fa,0.0,0.0,0.0,0.0
KitchenQual_Gd,-0.0,-0.0,-0.0,-0.0
