Feature Name,Alpha = 100.000000,Alpha = 200.000000,Alpha = 300.000000
ExterQual_Fa,0.0,-0.0,-0.0
ExterQual_Gd,-0.0,0.0,0.0
ExterQual_TA,-2714.8987214131384,-3849.251554592571,-4157.7054148343195
ExterCond_Ex,0.0,0.0,0.0
ExterCond_Fa,0.0,0.0,-0.0
ExterCond_Gd,-841.9988874504652,-0.0,-0.0
ExterCond_Po,-0.0,-0.0,-0.0
ExterCond_TA,0.0,0.0,0.0
Foundation_BrkTil,-0.0,-0.0,-0.0
Foundation_CBlock,-0.0,-0.0,-0.0
Foundation_PConc,1649.0184204143186,1529.608907127912,1297.6637864798354
Foundation_Slab,0.0,0.0,0.0
Foundation_Stone,0.0,0.0,0.0
Foundation_Wood,-0.0,-0.0,-0.0
BsmtQual_Ex,13423.661264159928,16660.4215045832,18499.23975316429
BsmtQual_Fa,-0.0,0.0,0.0
BsmtQual_Gd,-6451.4349626912945,-3242.00132929331,-1237.299036082262
BsmtQual_None,3224.350216148732,0.0,0.0
BsmtQual_TA,-2969.544427691762,-1054.6680005118806,-0.0
BsmtCond_Fa,-2822.3227810588824,-1847.1644075707447,-0.0
BsmtCond_Gd,-0.0,-0.0,-0.0
BsmtCond_None,290.0820892314932,0.0,0.0
BsmtCond_Po,-0.0,-0.0,-0.0
BsmtCond_TA,157.64214544184773,0.0,0.0
BsmtExposure_Av,-0.0,-0.0,-0.0
BsmtExposure_Gd,15785.168385715824,14092.556431400233,12555.432610861133
BsmtExposure_Mn,-0.0,-0.0,-0.0
BsmtExposure_No,-4690.852647546037,-5065.845768620401,-5160.4621238269865
BsmtExposure_None,0.0,0.0,0.0
BsmtFinType1_ALQ,-0.0,-0.0,-0.0
BsmtFinType1_BLQ,0.0,0.0,0.0
BsmtFinType1_GLQ,2616.6475891257405,2338.3379675939336,1836.191359484735
BsmtFinType1_LwQ,-2081.7730726403406,-0.0,-0.0
BsmtFinType1_None,1054.1836942709574,0.0,0.0
BsmtFinType1_Rec,-1978.332389698989,-993.8612023611626,-0.0
BsmtFinType1_Unf,0.0,-0.0,-0.0
BsmtFinType2_ALQ,0.0,0.0,0.0
BsmtFinType2_BLQ,-0.0,-0.0,-0.0
BsmtFinType2_GLQ,0.0,0.0,0.0
BsmtFinType2_LwQ,-1007.7853739725039,-0.0,-0.0
BsmtFinType2_None,0.0,0.0,0.0
BsmtFinType2_Rec,-0.0,-0.0,-0.0
BsmtFinType2_Unf,-0.0,-0.0,-0.0
Heating_Floor,-0.0,0.0,0.0
Heating_GasA,0.0,0.0,0.0
Heating_GasW,-0.0,-0.0,-0.0
Heating_Grav,0.0,0.0,0.0
Heating_OthW,-0.0,-0.0,-0.0
Heating_Wall,0.0,0.0,0.0
HeatingQC_Ex,2913.8117501142215,3109.250294171333,3074.5444873545616
HeatingQC_Fa,0.0,0.0,0.0
HeatingQC_Gd,-0.0,-0.0,-0.0
HeatingQC_Po,0.0,0.0,0.0
HeatingQC_TA,-0.0,-185.43586189845917,-424.88060047227225
CentralAir_N,-0.0,-0.0,-0.0
CentralAir_Y,0.0,0.0,0.0
Electrical_FuseA,0.0,0.0,-0.0
Electrical_FuseF,0.0,0.0,0.0
Electrical_FuseP,0.0,0.0,0.0
Electrical_Mix,-0.0,-0.0,-0.0
Electrical_SBrkr,-0.0,-0.0,-0.0
KitchenQual_Ex,23473.55604040284,24092.70250918545,24165.605524325034
KitchenQual_Fa,0.0,0.0,0.0
KitchenQual_Gd,-11.628891791292396,-0.0,-0.0
KitchenQual_TA,-0.0,-262.68839311173946,-796.5538141268574
Functional_Maj1,-0.0,-0.0,-0.0
Functional_Maj2,-0.0,-0.0,-0.0
Functional_Min1,0.0,-0.0,-0.0
Functional_Min2,0.0,0.0,-0.0
Functional_Mod,-0.0,-0.0,-0.0
Functional_Sev,-0.0,-0.0,-0.0
Functional_Typ,14723.531435320623,14775.23084395082,13628.366624397744
