,VehicleID,FinancialYear,VehicleType,Manufacturer,ConditionScore,Year,ManufacturerAndVehicleType
13594,16073,2004-05,Heavy Goods Vehicle,Mercedes Benz,65,2004,Heavy Goods Vehicle Mercedes Benz
13595,16075,2005-06,Heavy Goods Vehicle,Volvo,40,2005,Heavy Goods Vehicle Volvo
13596,16075,2011-12,Heavy Goods Vehicle,Volvo,30,2011,Heavy Goods Vehicle Volvo
13597,16076,2005-06,Heavy Goods Vehicle,Volvo,30,2005,Heavy Goods Vehicle Volvo
13598,16076,2011-12,Heavy Goods Vehicle,Volvo,30,2011,Heavy Goods Vehicle Volvo
13599,16077,2005-06,Light Goods Vehicle,Volvo,30,2005,Light Goods Vehicle Volvo
13600,16077,2006-07,Light Goods Vehicle,Volvo,30,2006,Light Goods Vehicle Volvo
13601,16077,2008-09,Light Goods Vehicle,Volvo,0,2008,Light Goods Vehicle Volvo
13602,16078,2005-06,Heavy Goods Vehicle,Volvo,50,2005,Heavy Goods Vehicle Volvo
13603,16080,2006-07,Light Goods Vehicle,Mercedes Benz,35,2006,Light Goods Vehicle Mercedes Benz
13604,16081,2001-02,Personnel Vehicle,Mercedes Benz,100,2001,Personnel Vehicle Mercedes Benz
13605,16081,2007-08,Personnel Vehicle,Mercedes Benz,80,2007,Personnel Vehicle Mercedes Benz
13606,16082,2003-04,Heavy Goods Vehicle,Mercedes Benz,35,2003,Heavy Goods Vehicle Mercedes Benz
13607,16082,2009-10,Heavy Goods Vehicle,Mercedes Benz,40,2009,Heavy Goods Vehicle Mercedes Benz
13608,16083,2006-07,Light Goods Vehicle,Mercedes Benz,60,2006,Light Goods Vehicle Mercedes Benz
13609,16084,2006-07,Personnel Vehicle,Mercedes Benz,70,2006,Personnel Vehicle Mercedes Benz
13610,16085,2003-04,Personnel Vehicle,Volvo,85,2003,Personnel Vehicle Volvo
13611,16085,2009-10,Personnel Vehicle,Volvo,85,2009,Personnel Vehicle Volvo
13612,16086,2006-07,Personnel Vehicle,Volvo,55,2006,Personnel Vehicle Volvo
13613,16089,2004-05,Personnel Vehicle,Volvo,60,2004,Personnel Vehicle Volvo
13614,16091,2003-04,Heavy Goods Vehicle,Volvo,50,2003,Heavy Goods Vehicle Volvo
13615,16091,2009-10,Heavy Goods Vehicle,Volvo,60,2009,Heavy Goods Vehicle Volvo
13616,16092,2003-04,Light Goods Vehicle,Fiat,70,2003,Light Goods Vehicle Fiat
