,VehicleID,FinancialYear,VehicleType,Manufacturer,ConditionScore,Year,Month
19338,20962,2010-11,Personnel Vehicle,Mercedes Benz,70,2010,11
19339,20963,2006-07,Heavy Goods Vehicle,Mercedes Benz,15,2006,7
19340,20964,2003-04,Light Goods Vehicle,Mercedes Benz,70,2003,4
19341,20964,2009-10,Light Goods Vehicle,Mercedes Benz,70,2009,10
19342,20965,2006-07,Heavy Goods Vehicle,Volvo,15,2006,7
19343,20966,2004-05,Heavy Goods Vehicle,Volvo,30,2004,5
19344,20966,2010-11,Heavy Goods Vehicle,Volvo,30,2010,11
19345,20967,2003-04,Personnel Vehicle,Volvo,20,2003,4
19346,20967,2009-10,Personnel Vehicle,Volvo,70,2009,10
19347,20968,2001-02,Light Goods Vehicle,Volvo,20,2001,2
19348,20969,2004-05,Heavy Goods Vehicle,Volvo,65,2004,5
19349,20970,2004-05,Light Goods Vehicle,Volvo,5,2004,5
19350,20970,2010-11,Light Goods Vehicle,Volvo,5,2010,11
19351,20971,2002-03,Light Goods Vehicle,Fiat,20,2002,3
19352,20971,2008-09,Light Goods Vehicle,Fiat,20,2008,9
19353,20972,2004-05,Light Goods Vehicle,Volvo,50,2004,5
19354,20973,2003-04,Light Goods Vehicle,Volvo,35,2003,4
19355,20974,2002-03,Heavy Goods Vehicle,Volvo,80,2002,3
19356,20974,2011-12,Heavy Goods Vehicle,Volvo,65,2011,12
19357,20975,2005-06,Light Goods Vehicle,Fiat,0,2005,6
19358,20975,2007-08,Light Goods Vehicle,Fiat,20,2007,8
19359,20975,2011-12,Light Goods Vehicle,Fiat,0,2011,12
19360,20976,2006-07,Light Goods Vehicle,Volvo,45,2006,7
19361,20977,2004-05,Light Goods Vehicle,Volvo,70,2004,5
19362,20978,2003-04,Light Goods Vehicle,Volvo,50,2003,4
19363,20978,2008-09,Light Goods Vehicle,Volvo,40,2008,9
19364,20979,2002-03,Light Goods Vehicle,Volvo,20,2002,3
19365,20979,2009-10,Light Goods Vehicle,Volvo,30,2009,10
19366,20980,2005-06,Light Goods Vehicle,Volvo,55,2005,6
19367,20981,2003-04,Light Goods Vehicle,Volvo,20,2003,4
19368,20981,2008-09,Light Goods Vehicle,Volvo,35,2008,9
19369,20983,2004-05,Heavy Goods Vehicle,Volvo,65,2004,5
19370,20984,2002-03,Heavy Goods Vehicle,Mercedes Benz,10,2002,3
19371,20984,2008-09,Heavy Goods Vehicle,Mercedes Benz,15,2008,9
19372,20984,2011-12,Heavy Goods Vehicle,Mercedes Benz,15,2011,12
19373,20985,2003-04,Personnel Vehicle,Mercedes Benz,70,2003,4
19374,20985,2009-10,Personnel Vehicle,Mercedes Benz,70,2009,10
19375,20986,2003-04,Heavy Goods Vehicle,Mercedes Benz,30,2003,4
19376,20986,2009-10,Heavy Goods Vehicle,Mercedes Benz,10,2009,10
19377,20987,2006-07,Light Goods Vehicle,Mercedes Benz,20,2006,7
19378,20988,2002-03,Heavy Goods Vehicle,Mercedes Benz,30,2002,3
19379,20988,2009-10,Heavy Goods Vehicle,Mercedes Benz,30,2009,10
19380,20989,2005-06,Light Goods Vehicle,Mercedes Benz,50,2005,6
19381,20990,2005-06,Personnel Vehicle,Mercedes Benz,50,2005,6
19382,20990,2011-12,Personnel Vehicle,Mercedes Benz,50,2011,12
19383,20991,2006-07,Light Goods Vehicle,Mercedes Benz,80,2006,7
19384,20992,2002-03,Personnel Vehicle,Mercedes Benz,100,2002,3
19385,20993,2008-09,Light Goods Vehicle,Mercedes Benz,20,2008,9
19386,20994,2001-02,Heavy Goods Vehicle,Mercedes Benz,10,2001,2
19387,20995,2006-07,Light Goods Vehicle,Mercedes Benz,40,2006,7
19388,20996,2003-04,Heavy Goods Vehicle,Volvo,80,2003,4
19389,20996,2009-10,Heavy Goods Vehicle,Volvo,80,2009,10
19390,20997,2005-06,Heavy Goods Vehicle,Volvo,10,2005,6
19391,20997,2011-12,Heavy Goods Vehicle,Volvo,10,2011,12
19392,20998,2002-03,Personnel Vehicle,Volvo,70,2002,3
19393,20998,2011-12,Personnel Vehicle,Volvo,75,2011,12
19394,20999,2006-07,Light Goods Vehicle,Volvo,0,2006,7
19395,21000,2004-05,Heavy Goods Vehicle,Fiat,75,2004,5
19396,21001,2006-07,Light Goods Vehicle,Volvo,0,2006,7
19397,21002,2004-05,Light Goods Vehicle,Volvo,20,2004,5
19398,21003,2011-12,Personnel Vehicle,Volvo,70,2011,12
19399,21004,2005-06,Light Goods Vehicle,Volvo,35,2005,6
19400,21005,2008-09,Heavy Goods Vehicle,Volvo,40,2008,9
19401,21007,2005-06,Personnel Vehicle,Fiat,70,2005,6
19402,21007,2011-12,Personnel Vehicle,Fiat,60,2011,12
